Restaurant Name,Cuisine,Address,Website,Menu Section , Menu Item , Description , Price,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Prawns) , PAD KRA PROW , Stir-fried with basil,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Prawns) , MED MAMUANG , Stir-fried with cashew nuts,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Prawns) , PAD KHING , Stir-fried with ginger,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Prawns) , PAD PRIK KANG , Stir-fried with fine beans,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Prawns) , PAD NAM MAN HOI , Stir-fried with oyster sauce,, garlic & onions | ¬£10.45,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Prawns) , PAD CHA , Stir-fried with lemongrass,, basil & chilli | ¬£10.45,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Prawns) , PAD PRIG TAI DUM , Stir-fried with mushrooms,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Prawns) , NAM PRIG POW , Stir-fried with chilli paste,, basil and chilli | ¬£10.45,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Squid) , PAD KRA PROW , Stir-fried with basil,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Squid) , MED MAMUANG , Stir-fried with cashew nuts,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Squid) , PAD KHING , Stir-fried with ginger,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Squid) , PAD PRIK KANG , Stir-fried with fine beans,,,
